Date,Open,High,Low,Close,Adj Close,Volume
2012-05-21,83.250000,83.660004,82.519997,83.629997,59.220055,1250100
2012-05-22,83.599998,84.230003,83.089996,83.690002,59.262550,1532600
2012-05-23,83.370003,83.480003,82.190002,83.349998,59.021793,1572500
2012-05-24,83.580002,83.580002,82.510002,83.370003,59.035946,5978900
2012-05-25,83.250000,83.620003,82.620003,82.709999,58.568600,6308500
2012-05-29,83.290001,83.690002,82.830002,83.660004,59.241299,7994200
2012-05-30,82.400002,83.250000,81.519997,82.800003,59.341652,1959200
2012-05-31,82.739998,83.470001,82.620003,82.800003,59.341652,1613900
2012-06-01,81.639999,82.019997,81.010002,81.220001,58.209290,1797300
2012-06-04,81.230003,81.959999,80.440002,81.050003,58.087440,1506700
2012-06-05,80.809998,80.919998,80.139999,80.820000,57.922604,1416600
2012-06-06,81.790001,82.440002,81.279999,82.379997,59.040627,3648700
2012-06-07,83.040001,83.650002,82.690002,83.150002,59.592484,1777100
2012-06-08,82.940002,83.410004,82.650002,83.290001,59.692799,1117400
2012-06-11,83.790001,83.790001,82.389999,82.459999,59.097961,886400
2012-06-12,83.080002,83.790001,82.750000,83.370003,59.750153,1475000
2012-06-13,82.970001,83.440002,82.400002,82.669998,59.248474,1132900
2012-06-14,82.849998,83.599998,82.440002,83.330002,59.721466,1358200
2012-06-15,83.379997,83.889999,83.169998,83.449997,59.807480,1708000
2012-06-18,83.480003,84.839996,83.339996,84.760002,60.746361,1500800
2012-06-19,85.019997,85.610001,84.440002,85.300003,61.133362,1498700
2012-06-20,85.160004,85.269997,84.120003,84.540001,60.588669,1156900
2012-06-21,85.180000,85.529999,84.269997,84.370003,60.466843,1618200
2012-06-22,84.730003,85.500000,84.220001,85.349998,61.169201,1567400
2012-06-25,84.669998,85.250000,84.169998,84.250000,60.380840,1532200
2012-06-26,84.559998,84.680000,83.150002,83.379997,59.757324,1480900
2012-06-27,83.430000,85.180000,83.430000,84.910004,60.853813,1245800
2012-06-28,84.089996,84.750000,83.459999,84.529999,60.581490,1049700
2012-06-29,86.000000,87.089996,86.000000,87.080002,62.409050,2172800
2012-07-02,87.320000,87.650002,86.510002,87.160004,62.466393,1088000
2012-07-03,87.220001,87.510002,87.089996,87.510002,62.717239,1076400
2012-07-05,87.160004,87.540001,86.849998,87.000000,62.351742,1738700
2012-07-06,86.430000,87.000000,86.110001,86.860001,62.251389,893000
2012-07-09,86.889999,87.550003,86.820000,87.389999,62.631226,1384000
2012-07-10,87.669998,88.230003,86.709999,87.019997,62.366051,963200
2012-07-11,87.099998,87.300003,86.519997,86.839996,62.237057,1402100
2012-07-12,86.410004,86.610001,85.650002,86.019997,61.649395,1610200
2012-07-13,86.129997,87.330002,86.099998,87.250000,62.530888,1378300
2012-07-16,87.010002,87.220001,86.160004,87.139999,62.452053,1118300
2012-07-17,87.139999,87.809998,86.720001,87.430000,62.659889,1300400
2012-07-18,87.400002,88.669998,87.269997,88.599998,63.498390,1154000
2012-07-19,88.800003,88.800003,87.769997,88.510002,63.433922,1234700
2012-07-20,88.070000,88.489998,87.379997,87.709999,62.860565,1348300
2012-07-23,86.900002,87.290001,86.570000,86.910004,62.287209,1541200
2012-07-24,87.489998,89.160004,86.930000,87.790001,62.917900,2029800
2012-07-25,88.120003,88.220001,86.559998,87.680000,62.839062,2346300
2012-07-26,88.650002,88.870003,87.959999,88.550003,63.462605,1356800
2012-07-27,88.739998,90.510002,88.650002,90.199997,64.645119,1495600
2012-07-30,89.589996,89.849998,88.779999,89.080002,63.842426,1482300
2012-07-31,89.180000,89.610001,88.970001,89.269997,63.978596,2256200
2012-08-01,89.860001,90.000000,88.800003,88.959999,63.756416,3683000
2012-08-02,88.739998,88.830002,87.470001,88.449997,63.390919,1395600
